epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.842,1.66003,1.63671,2.62061,1.26037,0.58368,0.63007,0.67834,0.38513,0.54428,0.59208,0.61791,0.29075,1.56501,1.3268,1.07879,1.28559,0.00047373,0.00047373,0.00047373
2,199.261,1.56195,1.49825,1.24523,1.20293,0.49375,0.62643,0.55307,0.31116,0.47435,0.61742,0.52791,0.30507,1.59808,1.0933,2.20788,1.26881,0.000912441,0.000912441,0.000912441
3,292.405,1.54387,1.4218,1.1556,1.21351,0.69704,0.61626,0.66101,0.37047,0.68455,0.60368,0.64434,0.34022,1.60375,1.04608,1.1805,1.27434,0.00131343,0.00131343,0.00131343
4,387.525,1.48857,1.34728,1.03735,1.17893,0.69284,0.79405,0.81064,0.47698,0.69659,0.71477,0.75523,0.37739,1.53716,0.89198,1.02332,1.24296,0.00125923,0.00125923,0.00125923
5,480.399,1.45554,1.27001,0.99432,1.15345,0.86758,0.84279,0.88165,0.56003,0.84101,0.81763,0.85747,0.49419,1.48281,0.9219,0.83972,1.19926,0.00120265,0.00120265,0.00120265
6,573.603,1.40291,1.2128,0.89613,1.12697,0.82393,0.8214,0.87254,0.57021,0.79023,0.78874,0.82333,0.47413,1.40648,0.86509,0.78918,1.15188,0.00114606,0.00114606,0.00114606
7,664.05,1.3396,1.15681,0.87611,1.10611,0.78432,0.83982,0.89397,0.62097,0.7637,0.85304,0.86326,0.54731,1.33479,0.86099,0.89175,1.1052,0.00108947,0.00108947,0.00108947
8,756.079,1.27337,1.09638,0.81491,1.08289,0.89218,0.81671,0.90432,0.60832,0.88015,0.80571,0.88692,0.50749,1.33899,0.86756,0.78202,1.10701,0.00103288,0.00103288,0.00103288
9,845.245,1.25077,1.12022,0.77664,1.06392,0.91767,0.8932,0.92909,0.67642,0.89812,0.87602,0.91017,0.58922,1.23427,0.83162,0.71153,1.07778,0.000976293,0.000976293,0.000976293
10,937.513,1.17515,1.07118,0.72327,1.03171,0.92595,0.90941,0.93516,0.68279,0.91064,0.89469,0.91421,0.63916,1.14683,0.82972,0.63227,1.0364,0.000919704,0.000919704,0.000919704
11,1030.18,1.12336,1.0162,0.69395,1.01343,0.89281,0.95679,0.96655,0.71994,0.88131,0.94579,0.94888,0.62423,1.14854,0.82997,0.60505,1.02415,0.000863116,0.000863116,0.000863116
12,1121.54,1.0737,0.9741,0.65556,0.99203,0.9063,0.92737,0.94207,0.71708,0.89778,0.91951,0.9292,0.60402,1.06632,0.83602,0.60208,0.9977,0.000806528,0.000806528,0.000806528
13,1211.9,1.04563,1.00646,0.6525,0.98559,0.9081,0.97703,0.97948,0.76217,0.90049,0.96917,0.96554,0.65277,0.97429,0.79272,0.55819,0.96914,0.000749939,0.000749939,0.000749939
14,1303.27,1.00459,0.97064,0.61387,0.97104,0.93167,0.94234,0.94145,0.73835,0.92765,0.93762,0.9317,0.60687,0.96309,0.75106,0.5712,0.96741,0.000693351,0.000693351,0.000693351
15,1393.47,0.98505,0.93455,0.59318,0.96216,0.93092,0.92885,0.96259,0.75913,0.92105,0.91942,0.94698,0.59836,0.95636,0.76315,0.51179,0.94793,0.000636762,0.000636762,0.000636762
16,1483.9,0.91235,0.84519,0.51928,0.95209,0.96002,0.97181,0.97008,0.79167,0.95524,0.96709,0.96017,0.66669,0.89973,0.67843,0.47567,0.93859,0.000580174,0.000580174,0.000580174
17,1574.37,0.87307,0.82865,0.49744,0.93197,0.93826,0.9333,0.9786,0.79531,0.92981,0.92392,0.96677,0.66056,0.88838,0.71622,0.4868,0.92333,0.000523586,0.000523586,0.000523586
18,1663.29,0.83577,0.81129,0.48212,0.91315,0.94651,0.92604,0.96938,0.79175,0.93638,0.91665,0.95348,0.61858,0.89447,0.70379,0.46607,0.92236,0.000466997,0.000466997,0.000466997
19,1751.66,0.79311,0.7905,0.45471,0.90697,0.92479,0.9613,0.98289,0.81692,0.92103,0.95828,0.9748,0.67523,0.8242,0.67389,0.45743,0.8999,0.000410409,0.000410409,0.000410409
20,1840.59,0.73171,0.7364,0.43084,0.88095,0.92386,0.96626,0.98297,0.83322,0.91903,0.96154,0.97484,0.71189,0.78587,0.68788,0.43027,0.89237,0.00035382,0.00035382,0.00035382
21,1930.48,0.72813,0.71442,0.42587,0.88739,0.99438,0.93052,0.98323,0.84743,0.98865,0.92589,0.97384,0.6868,0.75483,0.7096,0.43065,0.8874,0.000297232,0.000297232,0.000297232
22,2019,0.68535,0.69157,0.40249,0.86989,0.98154,0.92023,0.98207,0.84795,0.97795,0.91744,0.97523,0.71762,0.71517,0.65873,0.40618,0.87415,0.000240644,0.000240644,0.000240644
23,2107.93,0.65554,0.66364,0.38398,0.86774,0.97908,0.94391,0.98496,0.86935,0.97577,0.94076,0.97847,0.70737,0.6813,0.61558,0.39462,0.86775,0.000184055,0.000184055,0.000184055
24,2196.25,0.62878,0.64802,0.37309,0.85209,0.96595,0.95727,0.99063,0.87356,0.96267,0.95412,0.98254,0.72635,0.66951,0.63452,0.38051,0.86432,0.000127467,0.000127467,0.000127467
25,2285.78,0.59711,0.64943,0.36784,0.8502,0.95331,0.97925,0.99059,0.87788,0.95007,0.97623,0.98446,0.71711,0.64137,0.62199,0.3694,0.85421,7.08784e-05,7.08784e-05,7.08784e-05
